Country_or_dependency,Total_Area_KM,Total_Area_M,Land_Area_KM,Land_Area_M,Percentage_World_Mass
Solomon Islands,28896,11157,27990,10807,0.0
Albania,28748,11100,27400,10579,0.0
Equatorial Guinea,28051,10831,28050,10830,0.0
Burundi,27834,10747,25680,9915,0.0
Haiti,27750,10714,27560,10641,0.0
Rwanda,26338,10169,24670,9525,0.0
Republic of North Macedonia,25713,9928,25220,9737,0.0
Djibouti,23200,8958,23180,8950,0.0
Belize,22966,8867,22810,8807,0.0
El Salvador,21041,8124,20720,8000,0.0
Israel,20770,8019,21640,8355,0.0
Slovenia,20273,7827,20140,7776,0.0
New Caledonia,18575,7172,18280,7058,0.0
Fiji,18272,7055,18270,7054,0.0
Kuwait,17818,6880,17820,6880,0.0
Eswatini,17364,6704,17200,6641,0.0
Timor-Leste,14874,5743,14870,5741,0.0
Bahamas,13943,5383,10010,3865,0.0
Montenegro,13812,5333,13450,5193,0.0
Vanuatu,12189,4706,12190,4707,0.0
Falkland Islands,12173,4700,12170,4699,0.0
Qatar,11586,4473,11610,4483,0.0
Jamaica,10991,4244,10830,4181,0.0
Gambia,10689,4127,10120,3907,0.0
Lebanon,10452,4036,10230,3950,0.0
Cyprus,9251,3572,9240,3568,0.0
Puerto Rico,8870,3425,8870,3425,0.0
State of Palestine,6220,2402,6020,2324,0.0
Brunei Darussalam,5765,2226,5270,2035,0.0
Trinidad and Tobago,5130,1981,5130,1981,0.0
French Polynesia,4167,1609,3660,1413,0.0
Cabo Verde,4033,1557,4030,1556,0.0
Samoa,2842,1097,2830,1093,0.0
Luxembourg,2586,998,2590,1000,0.0
Réunion,2511,970,2500,965,0.0
Mauritius,2040,788,2030,784,0.0
Comoros,1862,719,1861,719,0.0
Guadeloupe,1628,629,1690,653,0.0
Faeroe Islands,1393,538,1396,539,0.0
Martinique,1128,436,1060,409,0.0
"China, Hong Kong SAR",1104,426,1050,405,0.0
Sao Tome and Principe,964,372,960,371,0.0
Turks and Caicos Islands,948,366,950,367,0.0
Kiribati,811,313,810,313,0.0
Bahrain,765,295,760,293,0.0
Dominica,751,290,750,290,0.0
Tonga,747,288,720,278,0.0
Singapore,710,274,700,270,0.0
Micronesia,702,271,700,270,0.0
Saint Lucia,616,238,610,236,0.0
Isle of Man,572,221,570,220,0.0
Guam,549,212,540,208,0.0
Andorra,468,181,470,181,0.0
Northern Mariana Islands,464,179,460,178,0.0
Palau,459,177,460,178,0.0
Seychelles,452,175,460,178,0.0
Curaçao,444,171,444,171,0.0
Antigua and Barbuda,442,171,440,170,0.0
Barbados,430,166,430,166,0.0
Saint Helena,394,152,390,151,0.0
Saint Vincent and the Grenadines,389,150,390,151,0.0
Mayotte,374,144,375,145,0.0
United States Virgin Islands,347,134,350,135,0.0
Grenada,344,133,340,131,0.0
Caribbean Netherlands,328,127,328,127,0.0
Malta,316,122,320,124,0.0
Maldives,300,116,300,116,0.0
Cayman Islands,264,102,240,93,0.0
Saint Kitts and Nevis,261,101,260,100,0.0
Niue,260,100,260,100,0.0
Saint Pierre and Miquelon,242,93,230,89,0.0
Cook Islands,236,91,240,93,0.0
American Samoa,199,77,200,77,0.0
Marshall Islands,181,70,180,69,0.0
Aruba,180,69,180,69,0.0
Liechtenstein,160,62,160,62,0.0
British Virgin Islands,151,58,150,58,0.0
Wallis and Futuna Islands,142,55,140,54,0.0
Montserrat,102,39,100,39,0.0
Anguilla,91,35,90,35,0.0
San Marino,61,24,60,23,0.0
Bermuda,54,21,50,19,0.0
Saint Martin,53,20,53,20,0.0
Sint Maarten,34,13,34,13,0.0
"China, Macao SAR",30,12,30,12,0.0
Tuvalu,26,10,30,12,0.0
Saint Barthélemy,21,8,21,8,0.0
Nauru,21,8,20,8,0.0
Tokelau,12,5,10,4,0.0
Gibraltar,6,2,10,4,0.0
Monaco,2,1,1,1,0.0
Holy See,0,0,0,0,0.0
