Country_or_dependency,Population_2024,Yearly_Change,Net_Change,Density_PKm2,Land_Area_Km2,Migrants_net,Fertility_Rate,Median_Age,Urban_Pop_Percentage,World_Share,Total_Area_KM,Total_Area_M,Land_Area_KM,Land_Area_M,Percentage_World_Mass,kids,adults,retired
Denmark,5977412,0.49,29276,141,42430,25639,1.5,41,87,0.07,43094,16639,42430,16382,0.0,16.24,63.13,20.63
Djibouti,1168722,1.37,15778,50,23180,-11,2.6,25,71,0.01,23200,8958,23180,8950,0.0,28.65,67.21,4.15
Dominica,66205,-0.46,-305,88,750,-200,1.5,36,83,0.0,751,290,750,290,0.0,20.82,65.82,13.36
Dominican Republic,11427557,0.85,96292,236,48320,-34806,2.2,28,86,0.14,48671,18792,48320,18656,0.0,25.92,67.09,6.99
Ecuador,18135478,0.86,155395,73,248360,-19704,1.8,29,65,0.22,276841,106889,248360,95892,0.2,24.49,66.44,9.07
Egypt,116538258,1.75,2002486,117,995450,123884,2.7,24,41,1.43,1002450,387048,995450,384345,0.7,34.37,60.27,5.36
El Salvador,6338193,0.45,28569,306,20720,-23102,1.8,27,79,0.08,21041,8124,20720,8000,0.0,25.4,66.39,8.21
Equatorial Guinea,1892516,2.43,44967,67,28050,3891,4.1,21,63,0.02,28051,10831,28050,10830,0.0,36.05,59.01,4.94
Eritrea,3535603,1.88,65213,35,101000,-12696,3.7,19,74,0.04,117600,45406,101000,38996,0.1,36.27,59.73,4.0
Estonia,1360546,-0.49,-6650,32,42390,-7742,1.4,42,66,0.02,45227,17462,42390,16367,0.0,15.56,62.27,22.17
Ethiopia,132059767,2.62,3368075,132,1000000,30069,3.9,19,22,1.62,1104300,426372,1000000,386102,0.7,38.91,57.55,3.54
Fiji,928784,0.5,4639,51,18270,-3278,2.3,28,60,0.01,18272,7055,18270,7054,0.0,25.17,66.31,8.52
Finland,5617310,0.29,16125,18,303890,26894,1.3,43,86,0.07,338424,130666,303890,117333,0.2,16.25,60.5,23.25
France,66548530,0.17,109708,122,547557,90527,1.6,42,82,0.82,551695,213011,547557,211413,0.4,18.04,60.53,21.42
French Polynesia,281807,0.25,689,77,3660,-1261,1.5,35,66,0.0,4167,1609,3660,1413,0.0,20.62,68.79,10.59
Gabon,2538952,2.18,54163,10,257670,1105,3.6,22,84,0.03,267668,103347,257670,99487,0.2,35.04,60.76,4.2
Gambia,2759988,2.3,62143,273,10120,-2989,3.9,18,60,0.03,10689,4127,10120,3907,0.0,38.86,57.57,3.57
Georgia,3807670,0.0,178,55,69490,1745,1.8,37,62,0.05,69700,26911,69490,26830,0.0,18.41,63.65,17.95
Germany,84552242,0.0,4011,243,348560,36954,1.4,45,76,1.04,357114,137882,348560,134580,0.2,13.75,62.97,23.28
Ghana,34427414,1.89,639500,151,227540,-13114,3.3,21,58,0.42,238533,92098,227540,87854,0.2,37.72,57.92,4.36
Gibraltar,39329,2.23,858,3933,10,598,1.9,39,90,0.0,6,2,10,4,0.0,19.99,62.62,17.39
Greece,10047817,-1.9,-195091,78,128900,-122772,1.3,46,88,0.12,131990,50962,128900,49769,0.1,14.02,62.66,23.31
Greenland,55840,-0.15,-82,0,410450,-284,1.9,35,90,0.0,2166086,836330,410450,158476,0.3,20.46,67.66,11.89
Grenada,117207,0.11,126,345,340,-192,1.5,34,35,0.0,344,133,340,131,0.0,22.23,65.51,12.26
Guatemala,18406359,1.55,281521,172,107160,-7725,2.3,23,56,0.23,108889,42042,107160,41375,0.1,31.98,62.78,5.24
Guinea,14754785,2.42,349317,60,245720,-12024,4.1,18,40,0.18,245857,94926,245720,94873,0.2,40.96,55.05,4.0
Guinea-Bissau,2201352,2.23,48013,78,28120,-1712,3.8,19,46,0.03,36125,13948,28120,10857,0.0,42.51,54.38,3.11
Guyana,831087,0.57,4734,4,196850,-5407,2.4,26,27,0.01,214969,83000,196850,76004,0.1,23.65,68.49,7.86
Haiti,11772557,1.16,135159,427,27560,-31747,2.6,24,61,0.14,27750,10714,27560,10641,0.0,29.68,65.76,4.56
Honduras,10825703,1.7,180852,97,111890,-4821,2.5,24,58,0.13,112492,43433,111890,43201,0.1,27.92,66.18,5.91
Hungary,9676135,-0.11,-10328,107,90530,16223,1.5,44,72,0.12,93028,35918,90530,34954,0.1,14.24,63.97,21.79
Iceland,393396,1.51,5838,4,100250,3543,1.5,36,84,0.0,103000,39769,100250,38707,0.1,19.98,63.39,16.63
India,1450935791,0.89,12866195,488,2973190,-630830,2.0,28,37,17.78,3287590,1269345,2973190,1147955,2.0,24.47,68.72,6.81
Indonesia,283487931,0.82,2297864,156,1811570,-38469,2.1,30,59,3.47,1904569,735358,1811570,699451,1.2,24.62,67.7,7.68
Iran,91567738,1.06,959031,56,1628550,190156,1.7,33,73,1.12,1648195,636371,1628550,628786,1.1,23.51,69.82,6.67
Iraq,46042015,2.15,967966,106,434320,-17735,3.2,21,72,0.56,438317,169235,434320,167692,0.3,35.24,61.17,3.59
Ireland,5255017,1.12,58387,76,68890,39059,1.6,39,62,0.06,70273,27133,68890,26599,0.0,20.39,65.04,14.57
Isle of Man,84160,-0.01,-5,148,570,177,1.5,46,56,0.0,572,221,570,220,0.0,16.15,62.09,21.77
Israel,9387021,1.41,130707,434,21640,10612,2.8,29,91,0.12,20770,8019,21640,8355,0.0,25.46,61.66,12.88
Italy,59342867,-0.26,-156586,202,294140,95246,1.2,48,72,0.73,301336,116346,294140,113568,0.2,12.08,64.61,23.31
Jamaica,2839175,-0.02,-611,262,10830,-10506,1.4,32,60,0.03,10991,4244,10830,4181,0.0,24.11,65.8,10.08
